date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:00:09	70/70	---M-Z	200	added ('OK')	text/plain	date:Sun,%2017%20Nov%202019%2009:00:09%20GMT	https://mensa-france.net/robots.txt		(from )
10:00:10	1330511/1330511	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Nov%202019%2009:00:10%20GMT	https://mensa-france.net/nous-rejoindre/pre-test-sautoevaluer/	C:/code/mensa/mensa-france.net/nous-rejoindre/pre-test-sautoevaluer/index.html	(from )
10:00:10	20482/20482	---M--	200	added ('OK')	text/css	etag:%225002-550fb3fe2b832%22	https://mensa-france.net/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css?ver=6.3.0	C:/code/mensa/mensa-france.net/wp-content/plugins/LayerSlider/static/layerslider/css/layerslidera086.css	(from https://mensa-france.net/nous-rejoindre/pre-test-sautoevaluer/)
10:00:11	1685/1685	---M--	200	added ('OK')	text/css	etag:%22695-593fb6c4b170c%22	https://mensa-france.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4	C:/code/mensa/mensa-france.net/wp-content/plugins/contact-form-7/includes/css/styles58e0.css	(from https://mensa-france.net/nous-rejoindre/pre-test-sautoevaluer/)
10:00:11	29789/29789	---M--	200	added ('OK')	text/css	etag:%22745d-550fb4d18a26f%22	https://mensa-france.net/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.2	C:/code/mensa/mensa-france.net/wp-content/plugins/revslider/public/assets/css/settings7661.css	(from https://mensa-france.net/nous-rejoindre/pre-test-sautoevaluer/)
10:00:11	6947/6947	---M--	200	added ('OK')	text/css	etag:%221b23-564eac476b578%22	https://mensa-france.net/wp-content/plugins/fusion-core/css/style.min.css?ver=4.9.12	C:/code/mensa/mensa-france.net/wp-content/plugins/fusion-core/css/style.mind8f3.css	(from https://mensa-france.net/nous-rejoindre/pre-test-sautoevaluer/)
10:00:11	321/321	---M--	200	added ('OK')	text/css	etag:%22141-564eabe08d9e4%22	https://mensa-france.net/wp-content/themes/Avada/style.css?ver=4.9.12	C:/code/mensa/mensa-france.net/wp-content/themes/Avada/styled8f3.css	(from https://mensa-france.net/nous-rejoindre/pre-test-sautoevaluer/)
10:00:12	199437/199437	---M--	200	added ('OK')	text/css	etag:%2230b0d-564eabe00524c%22	https://mensa-france.net/wp-content/themes/Avada/assets/css/style.min.css?ver=5.4.2	C:/code/mensa/mensa-france.net/wp-content/themes/Avada/assets/css/style.min7661.css	(from https://mensa-france.net/nous-rejoindre/pre-test-sautoevaluer/)
10:00:12	6308/6308	---M--	200	added ('OK')	text/css	etag:%2218a4-56e82cc01494f%22	https://mensa-france.net/wp-content/plugins/newsletter/style.css?ver=5.5.0	C:/code/mensa/mensa-france.net/wp-content/plugins/newsletter/styledeba.css	(from https://mensa-france.net/nous-rejoindre/pre-test-sautoevaluer/)
10:00:12	117557/117557	---M--	200	added ('OK')	application/javascript	etag:%221cb35-550fb3fe2bc1a%22	https://mensa-france.net/wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js?ver=1.19.0	C:/code/mensa/mensa-france.net/wp-content/plugins/LayerSlider/static/layerslider/js/greensockb3a6.js	(from https://mensa-france.net/nous-rejoindre/pre-test-sautoevaluer/)
10:00:12	96874/96874	---M--	200	added ('OK')	application/javascript	etag:%2217a6a-591c5db7e3a69%22	https://mensa-france.net/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/code/mensa/mensa-france.net/wp-includes/js/jquery/jqueryb8ff.js	(from https://mensa-france.net/nous-rejoindre/pre-test-sautoevaluer/)
10:00:12	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400%22	https://mensa-france.net/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/code/mensa/mensa-france.net/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://mensa-france.net/nous-rejoindre/pre-test-sautoevaluer/)
10:00:13	111080/111080	---M--	200	added ('OK')	application/javascript	etag:%221b1e8-550fb3fe2c002%22	https://mensa-france.net/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js?ver=6.3.0	C:/code/mensa/mensa-france.net/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquerya086.js	(from https://mensa-france.net/nous-rejoindre/pre-test-sautoevaluer/)
